rank,scene_idx,result,success,steps,collisions,exposure,remaining_dist,bfs_len,bucket,start_x,start_y,goal_x,goal_y
0,3,success,1,20,0,0.0,0.0,7,easy,2,1,8,8
1,8,timeout,0,70,0,0.0,1.4142135381698608,7,easy,0,2,7,7
2,10,success,1,21,0,0.0,0.0,7,easy,1,1,8,8
3,13,success,1,20,0,0.0,0.0,8,easy,0,2,8,8
4,15,success,1,17,0,0.0,0.0,9,mid,2,0,9,7
5,19,success,1,15,0,0.0,0.0,8,easy,1,1,8,7
6,27,success,1,12,0,0.0,0.0,8,easy,0,2,8,7
7,32,success,1,21,0,0.0,0.0,8,easy,2,0,9,7
8,33,success,1,15,0,0.0,0.0,8,easy,2,1,9,7
9,45,success,1,24,0,0.2916666666666667,0.0,8,easy,1,0,9,8
10,50,success,1,25,0,0.0,0.0,9,mid,0,1,9,9
11,52,success,1,22,0,0.0,0.0,8,easy,2,0,8,8
12,61,timeout,0,70,0,0.0,2.2360680103302,9,mid,0,1,7,7
13,66,timeout,0,70,0,1.0,1.0,6,easy,2,2,7,8
14,68,timeout,0,70,0,0.0,2.8284270763397217,7,easy,1,1,7,8
15,72,timeout,0,70,0,0.0,1.4142135381698608,7,easy,0,1,7,7
16,79,success,1,17,0,1.0,0.0,7,easy,2,2,9,7
17,97,timeout,0,70,0,0.0,4.4721360206604,7,easy,1,1,7,8
18,98,success,1,22,0,0.0,0.0,9,mid,1,0,9,9
19,99,timeout,0,70,0,0.0,2.2360680103302,6,easy,1,2,7,8
20,100,success,1,22,0,0.3181818181818182,0.0,8,easy,0,1,8,8
21,102,success,1,20,0,0.8,0.0,8,easy,0,0,8,7
22,104,success,1,20,0,0.3,0.0,8,easy,1,1,9,7
23,109,success,1,17,0,0.0,0.0,11,hard,0,0,9,8
24,112,success,1,18,0,0.0,0.0,8,easy,2,1,8,9
25,130,success,1,23,0,0.0,0.0,8,easy,1,1,8,9
26,131,success,1,15,0,0.0,0.0,10,hard,2,0,7,7
27,132,timeout,0,70,0,0.0,4.123105525970459,8,easy,1,2,8,8
28,134,success,1,23,0,0.043478260869565216,0.0,9,mid,0,1,9,9
29,136,success,1,16,0,0.0,0.0,7,easy,2,0,8,7
30,144,success,1,9,0,0.0,0.0,7,easy,2,2,7,9
31,147,success,1,24,0,0.041666666666666664,0.0,8,easy,0,0,8,8
32,163,success,1,21,0,0.23809523809523808,0.0,7,easy,1,1,8,8
33,167,success,1,17,0,0.0,0.0,7,easy,1,2,8,8
34,175,timeout,0,70,0,0.0,2.0,6,easy,2,2,7,8
35,192,success,1,23,0,0.0,0.0,8,easy,1,0,8,8
36,195,timeout,0,70,0,0.0,4.4721360206604,8,easy,2,0,7,8
37,201,success,1,15,0,0.0,0.0,7,easy,1,2,8,7
38,207,timeout,0,70,0,0.0,6.082762718200684,12,hard,2,0,7,8
39,214,timeout,0,70,0,0.0,1.0,8,easy,0,2,8,9
40,215,success,1,16,0,0.0,0.0,9,mid,0,2,8,9
41,223,timeout,0,70,0,0.0,6.0,8,easy,2,2,8,9
42,230,success,1,18,0,0.0,0.0,6,easy,2,2,8,8
43,241,success,1,18,0,0.1111111111111111,0.0,11,hard,2,0,8,9
44,242,success,1,17,0,0.0,0.0,9,mid,2,0,9,9
45,251,timeout,0,70,0,0.0,2.2360680103302,8,easy,1,0,7,8
46,252,timeout,0,70,0,0.0,3.1622776985168457,9,mid,0,0,7,9
47,267,success,1,20,0,0.0,0.0,9,mid,1,1,9,9
48,269,timeout,0,70,0,0.0,2.2360680103302,7,easy,0,0,7,7
49,271,timeout,0,70,0,0.0,2.2360680103302,7,easy,0,2,7,7
50,272,timeout,0,70,0,0.0,1.4142135381698608,12,hard,2,0,8,7
51,276,timeout,0,70,0,0.0,2.2360680103302,6,easy,1,1,7,7
52,286,success,1,21,0,0.0,0.0,9,mid,0,1,9,7
53,288,success,1,23,0,0.13043478260869565,0.0,9,mid,2,0,9,9
54,289,success,1,19,0,0.0,0.0,9,mid,1,1,9,8
55,290,success,1,20,0,0.0,0.0,8,easy,1,2,9,9
56,297,timeout,0,70,0,0.0,4.4721360206604,6,easy,1,2,7,8
57,312,timeout,0,70,0,0.0,5.0,9,mid,0,2,9,9
58,319,success,1,17,0,0.0,0.0,7,easy,1,2,8,7
59,324,success,1,15,0,0.0,0.0,9,mid,1,2,8,9
60,327,timeout,0,70,0,0.0,6.082762718200684,8,easy,0,1,7,9
61,331,timeout,0,70,0,0.0,2.2360680103302,8,easy,0,1,8,8
62,333,timeout,0,70,0,0.0,2.8284270763397217,6,easy,1,1,7,7
63,340,timeout,0,70,0,0.0,7.071067810058594,9,mid,2,2,9,9
64,342,timeout,0,70,0,0.0,2.0,6,easy,1,2,7,8
65,343,timeout,0,70,0,0.0,1.0,8,easy,1,1,7,9
66,346,timeout,0,70,0,0.0,8.485280990600586,12,hard,1,2,9,9
67,348,timeout,0,70,0,0.24285714285714285,2.8284270763397217,7,easy,1,0,7,7
68,373,success,1,17,0,0.0,0.0,10,hard,1,0,8,8
69,393,success,1,17,0,0.7058823529411765,0.0,7,easy,1,2,8,7
70,397,success,1,23,0,0.0,0.0,10,hard,2,1,9,9
71,403,timeout,0,70,0,0.0,8.0,9,mid,2,0,8,9
72,405,success,1,23,0,0.0,0.0,8,easy,1,0,8,8
73,411,success,1,20,0,0.3,0.0,8,easy,0,1,8,9
74,416,timeout,0,70,0,0.0,4.0,10,hard,0,1,9,8
75,417,timeout,0,70,0,0.0,2.2360680103302,6,easy,1,1,7,7
76,419,timeout,0,70,0,0.0,1.4142135381698608,8,easy,1,1,7,8
77,425,success,1,19,0,0.21052631578947367,0.0,8,easy,2,1,9,9
78,429,success,1,17,0,0.0,0.0,8,easy,1,2,9,7
79,433,success,1,18,0,0.0,0.0,8,easy,0,1,8,9
80,434,timeout,0,70,0,0.0,1.4142135381698608,7,easy,2,2,7,9
81,444,timeout,0,70,0,0.0,3.1622776985168457,8,easy,0,2,8,7
82,450,success,1,13,0,0.0,0.0,9,mid,1,1,9,8
83,453,success,1,21,0,0.0,0.0,8,easy,1,0,8,8
84,457,timeout,0,70,0,0.0,2.2360680103302,8,easy,0,1,7,9
85,462,timeout,0,70,0,0.37142857142857144,1.4142135381698608,7,easy,2,2,7,9
86,470,success,1,21,0,0.0,0.0,11,hard,0,0,8,9
87,472,timeout,0,70,0,0.0,4.4721360206604,7,easy,2,2,8,7
88,473,success,1,22,0,0.0,0.0,8,easy,2,0,8,8
89,479,success,1,22,0,0.0,0.0,8,easy,0,0,8,7
90,484,success,1,15,0,0.0,0.0,10,hard,1,0,8,8
91,485,timeout,0,70,0,0.0,2.2360680103302,8,easy,1,1,7,9
92,490,success,1,24,0,0.0,0.0,9,mid,2,0,8,9
93,491,timeout,0,70,0,0.0,2.8284270763397217,7,easy,1,0,7,7
94,502,success,1,21,0,0.0,0.0,7,easy,2,1,9,8
95,514,success,1,20,0,0.0,0.0,8,easy,1,1,9,8
96,515,timeout,0,70,0,0.0,3.1622776985168457,8,easy,2,0,7,8
97,518,success,1,19,0,0.0,0.0,8,easy,1,0,9,7
98,541,success,1,24,0,0.0,0.0,8,easy,0,0,8,8
99,551,timeout,0,70,0,0.0,2.2360680103302,10,hard,0,2,7,8
100,555,timeout,0,70,0,0.0,6.082762718200684,10,hard,0,2,7,9
101,557,success,1,18,0,0.5,0.0,8,easy,1,2,9,7
102,558,success,1,12,0,0.0,0.0,7,easy,1,1,8,7
103,572,timeout,0,70,0,0.0,2.2360680103302,10,hard,2,0,7,9
104,573,success,1,23,0,0.0,0.0,8,easy,2,0,9,8
105,578,success,1,23,0,0.0,0.0,11,hard,0,0,9,9
106,582,timeout,0,70,0,0.0,2.0,9,mid,1,0,7,9
107,587,success,1,26,0,0.0,0.0,9,mid,0,0,8,9
108,596,timeout,0,70,0,0.0,5.099019527435303,7,easy,0,2,7,8
109,612,success,1,16,0,0.0,0.0,6,easy,2,2,8,7
110,619,timeout,0,70,0,0.0,1.0,9,mid,0,0,7,9
111,622,success,1,19,0,0.5263157894736842,0.0,7,easy,1,2,8,8
112,626,success,1,25,0,0.0,0.0,11,hard,1,0,9,9
113,629,success,1,18,0,0.3888888888888889,0.0,8,easy,0,2,8,7
114,641,success,1,14,0,0.0,0.0,9,mid,1,0,8,9
115,645,success,1,19,0,0.6842105263157895,0.0,7,easy,2,1,9,7
116,651,success,1,20,0,0.0,0.0,9,mid,1,0,9,7
117,652,success,1,18,0,0.0,0.0,13,hard,0,0,8,9
118,657,success,1,16,0,0.0,0.0,9,mid,2,0,8,9
