rank,scene_idx,result,success,steps,collisions,exposure,remaining_dist,bfs_len,bucket,start_x,start_y,goal_x,goal_y
0,9,success,1,5,0,0.0,0.0,5,hard,1,4,6,6
1,10,success,1,5,0,0.0,0.0,5,hard,9,4,4,4
2,11,success,1,5,0,0.0,0.0,5,hard,3,4,7,7
3,21,success,1,5,0,0.0,0.0,4,mid,7,6,9,9
4,23,timeout,0,70,0,1.0,3.1622776985168457,5,hard,4,6,7,1
5,35,success,1,4,0,0.0,0.0,4,mid,9,9,5,6
6,43,success,1,2,0,0.0,0.0,2,easy,1,0,2,2
7,44,success,1,4,0,0.0,0.0,2,easy,7,5,9,3
8,50,success,1,5,0,0.0,0.0,5,hard,5,2,4,6
9,56,timeout,0,70,0,0.05714285714285714,2.8284270763397217,4,mid,7,6,3,2
10,58,success,1,4,0,0.0,0.0,4,mid,2,1,2,5
11,64,success,1,7,0,0.5714285714285714,0.0,4,mid,5,5,1,4
12,83,success,1,4,0,0.0,0.0,4,mid,8,4,8,0
13,84,success,1,4,0,0.0,0.0,2,easy,5,9,7,7
14,88,success,1,2,0,0.0,0.0,2,easy,3,5,1,7
15,94,timeout,0,70,0,0.0,1.0,5,hard,1,2,6,1
16,95,timeout,0,70,0,0.0,1.0,4,mid,6,1,9,5
17,98,success,1,8,0,0.0,0.0,5,hard,0,3,5,4
18,104,timeout,0,70,0,0.0,1.0,2,easy,4,6,2,7
19,112,success,1,5,0,0.2,0.0,5,hard,9,6,4,5
20,123,success,1,5,0,0.0,0.0,3,easy,8,4,7,1
21,130,success,1,6,0,0.0,0.0,5,hard,6,1,3,6
22,134,success,1,2,0,0.0,0.0,2,easy,6,1,4,2
23,138,success,1,6,0,0.0,0.0,5,hard,0,8,5,7
24,142,timeout,0,70,0,0.0,1.0,2,easy,5,5,3,4
25,146,success,1,3,0,0.0,0.0,3,easy,0,4,1,1
26,158,success,1,4,0,0.0,0.0,3,easy,8,4,7,7
27,165,success,1,6,0,0.0,0.0,5,hard,8,4,3,3
28,179,success,1,5,0,0.0,0.0,5,hard,9,7,4,9
29,185,timeout,0,70,0,0.0,1.0,4,mid,9,5,5,1
30,192,success,1,5,0,0.0,0.0,3,easy,7,7,5,4
31,196,success,1,5,0,0.0,0.0,5,hard,5,1,3,5
32,201,timeout,0,70,0,0.0,1.0,4,mid,3,9,5,5
33,206,success,1,7,0,0.0,0.0,5,hard,4,8,9,6
34,208,success,1,2,0,0.0,0.0,2,easy,5,3,3,3
35,227,success,1,7,0,0.0,0.0,5,hard,9,4,9,9
36,235,success,1,5,0,0.0,0.0,3,easy,7,9,4,6
37,243,success,1,2,0,0.0,0.0,2,easy,7,2,5,4
38,258,success,1,4,0,0.0,0.0,4,mid,1,4,2,8
39,259,success,1,6,0,0.0,0.0,5,hard,7,2,2,3
40,262,success,1,4,0,0.0,0.0,4,mid,0,4,0,0
41,263,timeout,0,70,0,0.0,1.0,4,mid,2,3,6,5
42,270,success,1,5,0,0.0,0.0,3,easy,2,9,4,6
43,272,success,1,5,0,0.0,0.0,5,hard,3,7,8,4
44,273,success,1,4,0,0.0,0.0,4,mid,0,4,2,0
45,276,success,1,4,0,0.0,0.0,4,mid,4,4,1,8
46,277,success,1,3,0,0.0,0.0,3,easy,6,3,9,1
47,279,success,1,3,0,0.0,0.0,3,easy,3,5,1,8
48,284,timeout,0,70,0,0.0,1.0,2,easy,1,6,3,7
49,289,success,1,4,0,0.0,0.0,3,easy,8,1,7,4
50,295,success,1,5,0,0.0,0.0,4,mid,4,4,2,0
51,299,success,1,3,0,0.0,0.0,3,easy,3,7,4,4
52,303,timeout,0,70,0,0.0,1.4142135381698608,3,easy,5,6,5,3
53,307,timeout,0,70,0,0.0,1.0,5,hard,2,7,7,6
54,309,success,1,4,0,0.0,0.0,4,mid,9,3,5,6
55,310,success,1,5,0,0.0,0.0,4,mid,9,7,5,5
56,313,success,1,2,0,0.5,0.0,2,easy,3,7,3,5
57,324,success,1,4,0,0.0,0.0,3,easy,9,8,6,7
58,333,success,1,5,0,0.0,0.0,3,easy,3,2,2,5
59,343,success,1,3,0,0.0,0.0,2,easy,5,6,7,5
60,344,success,1,2,0,0.0,0.0,2,easy,3,7,3,9
61,345,success,1,3,0,0.0,0.0,2,easy,4,4,2,5
62,350,success,1,5,0,0.2,0.0,5,hard,2,2,4,7
63,356,success,1,5,0,0.0,0.0,5,hard,6,5,8,0
64,357,success,1,2,0,0.0,0.0,2,easy,0,0,2,2
65,359,success,1,6,0,0.0,0.0,4,mid,0,9,4,6
66,360,timeout,0,70,0,0.0,1.0,4,mid,9,4,5,2
67,367,success,1,3,0,0.0,0.0,3,easy,4,0,1,2
68,368,success,1,3,0,0.0,0.0,2,easy,8,3,6,2
69,369,timeout,0,70,0,1.0,3.1622776985168457,4,mid,4,3,0,4
70,373,success,1,7,0,0.0,0.0,4,mid,6,6,3,2
71,385,success,1,5,0,0.0,0.0,5,hard,9,3,6,8
72,397,timeout,0,70,0,0.0,4.4721360206604,8,hard,8,2,6,7
73,400,success,1,5,0,0.0,0.0,5,hard,0,7,5,7
74,403,success,1,5,0,0.0,0.0,3,easy,3,9,0,7
75,405,timeout,0,70,0,0.0,1.4142135381698608,2,easy,4,9,2,7
76,408,success,1,5,0,0.0,0.0,5,hard,5,3,0,6
77,414,timeout,0,70,0,0.0,2.0,5,hard,8,3,3,6
78,416,success,1,2,0,0.0,0.0,2,easy,6,1,8,0
79,419,success,1,3,0,0.0,0.0,3,easy,2,3,5,6
80,420,timeout,0,70,0,0.0,1.0,4,mid,1,2,1,6
81,422,success,1,2,0,0.0,0.0,2,easy,1,1,3,3
82,429,success,1,5,0,0.0,0.0,5,hard,5,0,0,3
83,430,timeout,0,70,0,0.0,1.4142135381698608,5,hard,9,2,4,2
84,437,success,1,6,0,0.0,0.0,5,hard,6,5,9,0
85,438,success,1,3,0,0.0,0.0,3,easy,6,6,4,8
86,444,success,1,3,0,0.0,0.0,3,easy,3,5,5,2
87,452,success,1,5,0,0.0,0.0,4,mid,2,0,4,4
88,455,timeout,0,70,0,0.24285714285714285,2.2360680103302,3,easy,2,3,5,3
89,457,success,1,4,0,0.0,0.0,4,mid,8,6,6,2
90,460,success,1,4,0,0.0,0.0,2,easy,5,0,4,2
91,461,success,1,7,0,0.0,0.0,5,hard,8,3,9,8
92,473,timeout,0,70,0,0.0,1.0,3,easy,0,9,1,6
93,475,success,1,5,0,0.0,0.0,3,easy,2,2,5,5
94,489,success,1,7,0,0.0,0.0,4,mid,8,7,5,3
95,499,success,1,2,0,0.0,0.0,2,easy,5,2,5,0
96,504,success,1,4,0,0.0,0.0,3,easy,0,5,3,2
97,507,success,1,3,0,0.0,0.0,3,easy,0,7,0,4
98,508,success,1,3,0,0.0,0.0,3,easy,5,4,8,3
99,512,timeout,0,70,0,0.0,1.0,2,easy,0,9,1,7
100,513,success,1,2,0,0.0,0.0,2,easy,2,1,4,1
101,515,success,1,5,0,0.0,0.0,4,mid,6,7,6,3
102,517,timeout,0,70,0,1.0,3.605551242828369,4,mid,6,7,6,3
103,527,timeout,0,70,0,0.6857142857142857,6.4031243324279785,4,mid,5,1,4,5
104,528,success,1,3,0,0.0,0.0,2,easy,2,5,1,7
105,535,success,1,3,0,0.0,0.0,2,easy,7,8,9,9
106,546,success,1,5,0,0.0,0.0,4,mid,8,8,5,4
107,558,success,1,4,0,0.0,0.0,4,mid,2,4,0,8
108,560,success,1,5,0,0.0,0.0,4,mid,5,5,9,4
109,561,timeout,0,70,0,0.0,3.1622776985168457,4,mid,9,3,5,3
110,562,success,1,4,0,0.0,0.0,4,mid,5,0,9,4
111,566,timeout,0,70,0,0.3142857142857143,1.0,3,easy,8,4,5,2
112,573,success,1,4,0,0.0,0.0,4,mid,3,9,4,5
113,577,success,1,2,0,0.0,0.0,2,easy,2,5,1,3
114,582,success,1,4,0,0.0,0.0,2,easy,4,5,3,3
